Title,Authors,Corporate Authors,Editors,Book Editors,Source Title,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Beginning Page,Ending Page,Article Number,DOI,Conference Title,Conference Date,Total Citations,Average per Year
Forest habitats in a mixed urban-agriculture mosaic landscape: patterns of mammal occupancy,"Smith, Yvette C. Ehlers; Smith, David A. Ehlers; Ramesh, T.; Downs, Colleen T.",,,,LANDSCAPE ECOLOGY,JAN 2018,2018,33,1,,,,59,76,,10.1007/s10980-017-0580-1,,,2,1
"Habitat use, ranching, and human-wildlife conflict within a fragmented landscape in the Pantanal, Brazil","de Souza, Julio Cesar; da Silva, Rosana Moreira; Rezende Goncalves, Marcos Paulo; Delgado Jardim, Rodrigo Jose; Markwith, Scott H.",,,,BIOLOGICAL CONSERVATION,JAN 2018,2018,217,,,,,349,357,,10.1016/j.biocon.2017.11.019,,,2,1
Camera trap placement and the potential for bias due to trails and other features,"Kolowski, Joseph M.; Forrester, Tavis D.",,,,PLOS ONE,OCT 18 2017,2017,12,10,,,,,,e0186679,10.1371/journal.pone.0186679,,,2,0.67
Camera trapping surveys of forest mammal communities in the Eastern Arc Mountains reveal generalized habitat and human disturbance responses,"Rovero, Francesco; Owen, Nisha; Jones, Trevor; Canteri, Elisabetta; Iemma, Aaron; Tattoni, Clara",,,,BIODIVERSITY AND CONSERVATION,MAY 2017,2017,26,5,,,,1103,1119,,10.1007/s10531-016-1288-2,,,2,0.67
Multiple Browsers Structure Tree Recruitment in Logged Temperate Forests,"Faison, Edward K.; DeStefano, Stephen; Foster, David R.; Rapp, Joshua M.; Compton, Justin A.",,,,PLOS ONE,NOV 28 2016,2016,11,11,,,,,,e0166783,10.1371/journal.pone.0166783,,,2,0.5
"Do Bird Friendly (R) Coffee Criteria Benefit Mammals? Assessment of Mammal Diversity in Chiapas, Mexico","Caudill, S. Amanda; Rice, Robert A.",,,,PLOS ONE,NOV 23 2016,2016,11,11,,,,,,e0165662,10.1371/journal.pone.0165662,,,2,0.5
Carnivore diversity at a montane rainforest site in Ecuador's Gran Sumaco Biosphere Reserve,"Hodge, Anne-Marie C.; Arbogast, Brian S.",,,,ORYX,JUL 2016,2016,50,3,,,,474,479,,10.1017/S0030605315000101,,,2,0.5
Buffer zone use by mammals in a Cerrado protected area,"Paolino, Roberta Montanheiro; Versiani, Natalia Fraguas; Pasqualotto, Nielson; Rodrigues, Thiago Ferreira; Krepschi, Victor Gasperotto; Chiarello, Adriano Garcia",,,,BIOTA NEOTROPICA,APR-JUN 2016,2016,16,2,,,,,,e20140117,10.1590/1676-0611-BN-2014-0117,,,2,0.5
Fruit gardens enhance mammal diversity and biomass in a Southeast Asian rainforest,"Moore, Jonathan Harry; Sittimongkol, Saifon; Campos-Arceiz, Ahimsa; Sumpah, Tok; Eichhorn, Markus Peter",,,,BIOLOGICAL CONSERVATION,FEB 2016,2016,194,,,,,132,138,,10.1016/j.biocon.2015.12.015,,,2,0.5
,"Gonzalez-Moreno, Alejandra; Bordera, Santiago; Delfin-Gonzalez, Hugo",,,,JOURNAL OF INSECT CONSERVATION,DEC 2015,2015,19,6,,,,1153,1161,,10.1007/s10841-015-9830-1,,,2,0.4
,"Rydell, Jens; Russo, Danilo",,,,MAMMALIAN BIOLOGY,MAY 2015,2015,80,3,,,SI,182,184,,10.1016/j.mambio.2014.11.003,,,2,0.4
Impact of alien trees on mammal distributions along an ephemeral river in the Namib Desert,"Williams, Delyth; Pettorelli, Nathalie; Henschel, Joh; Cowlishaw, Guy; Douglas, Caitlin M. S.",,,,AFRICAN JOURNAL OF ECOLOGY,DEC 2014,2014,52,4,,,,404,413,,10.1111/aje.12134,,,2,0.33
"Estimating Species Richness and Modelling Habitat Preferences of Tropical Forest Mammals from Camera Trap Data (vol 9, e103300, 2014)","Rovero, F.; Martin, E.; Rosa, M.; Ahumada, J. A.; Spitale, D.",,,,PLOS ONE,OCT 13 2014,2014,9,10,,,,,,e110971,10.1371/journal.pone.0110971,,,2,0.33
"A camera trap assessment of the forest mammal community within the transitional savannah-forest mosaic of the Bateke Plateau National Park, Gabon","Hedwig, Daniela; Kienast, Ivonne; Bonnet, Matthieu; Curran, Bryan; Courage, Amos; Boesch, Christophe; Kuehl, Hjalmar; King, Tony",,,,AFRICAN JOURNAL OF ECOLOGY,DEC 2018,2018,56,4,,,SI,777,790,,10.1111/aje.12497,,,1,0.5
"Assessing the impacts of oil exploration and restoration on mammals in Murchison Falls Conservation Area, Uganda","Fuda, Rebecca; Ryan, Sadie; Cohen, Jonathan; Hartter, Joel; Frair, Jacqueline",,,,AFRICAN JOURNAL OF ECOLOGY,DEC 2018,2018,56,4,,,SI,804,817,,10.1111/aje.12568,,,1,0.5
Occupancy and detectability modelling of vertebrates in northern Australia using multiple sampling methods,"Einoder, Luke D.; Southwell, Darren M.; Lahoz-Monfort, Jose J.; Gillespie, Graeme R.; Fisher, Alaric; Wintle, Brendan A.",,,,PLOS ONE,SEP 24 2018,2018,13,9,,,,,,e0203304,10.1371/journal.pone.0203304,,,1,0.5
Tree monocultures in a biodiversity hotspot: Impact of pine plantations on mammal and bird assemblages in the Atlantic Forest,"Iezzi, M. E.; Cruz, P.; Varela, D.; De Angelo, C.; Di Bitetti, M. S.",,,,FOREST ECOLOGY AND MANAGEMENT,SEP 15 2018,2018,424,,,,,216,227,,10.1016/j.foreco.2018.04.049,,,1,0.5
High altitude ungulate communities in southwest China,"Buzzard, Paul J.; Li, Xueyou; Bleisch, William V.",,,,MAMMALIA,SEP 2018,2018,82,5,,,,415,422,,10.1515/mammalia-2017-0019,,,1,0.5
Tourism in protected areas: Disentangling road and traffic effects on intra-guild scavenging processes,"Antonio Donazar, Jose; Ceballos, Olga; Cortes-Avizanda, Ainara",,,,SCIENCE OF THE TOTAL ENVIRONMENT,JUL 15 2018,2018,630,,,,,600,608,,10.1016/j.scitotenv.2018.02.186,,,1,0.5
"First structured camera-trap surveys in Karen State, Myanmar, reveal high diversity of globally threatened mammals","Moo, Saw Sha Bwe; Froese, Graden Z. L.; Gray, Thomas N. E.",,,,ORYX,JUL 2018,2018,52,3,,,,537,543,,10.1017/S0030605316001113,,,1,0.5
The importance of grass cover for mammalian diversity and habitat associations in a bush encroached savanna,"Soto-Shoender, Jose R.; McCleery, Robert A.; Monadjem, Ara; Gwinn, Daniel C.",,,,BIOLOGICAL CONSERVATION,MAY 2018,2018,221,,,,,127,136,,10.1016/j.biocon.2018.02.028,,,1,0.5
Diversity of terrestrial mammal seed dispersers along a lowland Amazon forest regrowth gradient,"Arevalo-Sandi, Alexander; Bobrowiec, Paulo Estefano D.; Ulises Rodriguez Chuma, Victor Juan; Norris, Darren",,,,PLOS ONE,MAR 16 2018,2018,13,3,,,,,,e0193752,10.1371/journal.pone.0193752,,,1,0.5
Forest cover influences occurrence of mammalian carnivores within Brazilian Atlantic Forest,"Regolin, Andre Luis; Cherem, Jorge Jose; Graipel, Mauricio Eduardo; Bogoni, Juliano Andre; Ribeiro, John Wesley; Vancine, Mauricio Humberto; Tortato, Marcos Adriano; Oliveira-Santos, Luiz Gustavo; Fantacini, Felipe Moreli; Luiz, Micheli Ribeiro; de Castilho, Pedro Volkmer; Ribeiro, Milton Cezar; Caceres, Nilton Carlos",,,,JOURNAL OF MAMMALOGY,DEC 1 2017,2017,98,6,,,,1721,1731,,10.1093/jmammal/gyx103,,,1,0.33
"Artillery for Conservation: The Case of the Mammals Protected by the Formosa Military Training Area, Brazil","Silva Arimoro, Omolabake Alhambra; Reis Lacerda, Ana Cristyna; Tomas, Walfrido Moraes; Astete, Samuel; Roig, Henrique Llacer; Marinho-Filho, Jader",,,,TROPICAL CONSERVATION SCIENCE,SEP 25 2017,2017,10,,,,,1,13,,10.1177/1940082917727654,,,1,0.33
"Free-ranging livestock influence species richness, occupancy, and daily behaviour of wild mammalian species in Baluran National Park, Indonesia","Pudyatmoko, Satyawan",,,,MAMMALIAN BIOLOGY,SEP 2017,2017,86,,,,,33,41,,10.1016/j.mambio.2017.04.001,,,1,0.33
"Diversity and activity patterns of sympatric animals among four types of forest habitat in Guanyinshan Nature Reserve in the Qinling Mountains, China","Liu, Xuehua; Wu, Pengfeng; Shao, Xiaoming; Songer, Melissa; Cai, Qiong; He, Xiangbo; Zhu, Yun",,,,ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,JUL 2017,2017,24,19,,,SI,16465,16477,,10.1007/s11356-017-9232-x,,,1,0.33
Estimating occurrence and detectability of a carnivore community in eastern Botswana using baited camera traps,"Satterfield, Lauren C.; Thompson, Jeffrey J.; Snyman, Andrei; Candelario, Luis; Rode, Brian; Carroll, John P.",,,,AFRICAN JOURNAL OF WILDLIFE RESEARCH,APR 2017,2017,47,1,,,,32,46,,10.3957/056.047.0032,,,1,0.33
Camera traps and pitfalls: an evaluation of two methods for surveying reptiles in a semiarid ecosystem,"Richardson, Emily; Nimmo, Dale G.; Avitabile, Sarah; Tworkowski, Lauren; Watson, Simon J.; Welbourne, Dustin; Leonard, Steven W. J.",,,,WILDLIFE RESEARCH,2017,2017,44,8,,,,637,647,,10.1071/WR16048,,,1,0.33
Optimizing camera-trapping protocols for characterizing mesocarnivore communities in south-western Europe,"Ferreras, P.; Diaz-Ruiz, F.; Alves, P. C.; Monterroso, P.",,,,JOURNAL OF ZOOLOGY,JAN 2017,2017,301,1,,,,23,31,,10.1111/jzo.12386,,,1,0.33
Mammal inventories in Seasonal Neotropical Forests: traditional approaches still compensate drawbacks of modern technologies,"Carvalho, William D.; Rosalino, Luis M.; Adania, Cristina H.; Esberard, Carlos E. L.",,,,IHERINGIA SERIE ZOOLOGIA,2016,2016,106,,,,,,,e2016005,10.1590/1678-4766e2016005,,,1,0.25
Response of medium- and large-sized terrestrial fauna to corridor restoration along the middle Sacramento River,"Derugin, Vasilissa V.; Silveira, Joseph G.; Golet, Gregory H.; LeBuhn, Gretchen",,,,RESTORATION ECOLOGY,JAN 2016,2016,24,1,,,,128,136,,10.1111/rec.12286,,,1,0.25
Changes in Mediterranean mesocarnivore communities along urban and ex-urban gradients,"Recio, Mariano R.; Arija, Carmen M.; Cabezas-Diaz, Sara; Virgos, Emilio",,,,Current Zoology,OCT 2015,2015,61,5,,,,793,801,,10.1093/czoolo/61.5.793,,,1,0.2
Beefing up species richness? The effect of land-use on mammal diversity in an arid biodiversity hotspot,"Mann, Gareth K. H.; Lagesse, Juliette V.; O'Riain, M. Justin; Parker, Dan M.",,,,AFRICAN JOURNAL OF WILDLIFE RESEARCH,OCT 2015,2015,45,3,,,,321,331,,10.3957/056.045.0321,,,1,0.2
USING CAMERA-TRAP TECHNOLOGY TO IMPROVE UNDERGRADUATE EDUCATION AND CITIZEN-SCIENCE CONTRIBUTIONS IN WILDLIFE RESEARCH,"Karlin, Melissa; De La Paz, Gabrielle",,,,SOUTHWESTERN NATURALIST,JUN-SEP 2015,2015,60,2-3,,,,171,179,,10.1894/SWNAT-D-14-00005.1,,,1,0.2
"Medium and large-sized mammals of the Reserva Ecologica de Guapiacu, Cachoeiras de Macacu, RJ","de Carvalho, Israel Dias; de Oliveira, Rildo; Pires, Alexandra dos Santos",,,,BIOTA NEOTROPICA,JUL-SEP 2014,2014,14,3,,,,,,,10.1590/1676-06032014007414,,,1,0.17
"Mammals recorded in isolated remnants of Atlantic Forest in southern Goias, Brazil","Calaca, Analice; Fachi, Marluci; Silva, Diego Afonso; Oliveira, Seixas Rezende; de Melo, Fabiano Rodrigues",,,,BIOTA NEOTROPICA,2019,2019,19,1,,,,,,e20180575,10.1590/1676-0611-BN-2018-0575,,,0,0
Urban forest fragmentation impoverishes native mammalian biodiversity in the tropics,"Tee, Sze Ling; Samantha, Liza D.; Kamarudin, Norizah; Akbar, Zubaid; Lechner, Alex M.; Ashton-Butt, Adham; Azhar, Badrul",,,,ECOLOGY AND EVOLUTION,DEC 2018,2018,8,24,,,,12506,12521,,10.1002/ece3.4632,,,0,0
Is there anybody out there? Occupancy of the carnivore guild in a temperate archipelago,"Allen, M. L.; Farmer, M. J.; Clare, J. D. J.; Olson, E. R.; Van Stappen, J.; Van Deelen, T. R.",,,,COMMUNITY ECOLOGY,DEC 2018,2018,19,3,,,,272,280,,10.1556/168.2018.19.3.8,,,0,0
Bird and mammal use of vernal pools along an urban development gradient,"Eakin, Carly J.; Hunter, Malcolm L.; Calhoun, Aram J. K.",,,,URBAN ECOSYSTEMS,DEC 2018,2018,21,6,,,,1029,1041,,10.1007/s11252-018-0782-6,,,0,0
"Activity patterns and resource partitioning: seven species at watering sites in the Altun Mountains, China",Xue Yadong; Li Jia; Sagen Guli; Zhang Yu; Dai Yunchuan; Li Diqiang,,,,JOURNAL OF ARID LAND,DEC 2018,2018,10,6,,,,959,967,,10.1007/s40333-018-0028-8,,,0,0
Selective logging causes the decline of large-sized mammals including those in unlogged patches surrounded by logged and agricultural areas,"Jamhuri, Jamaluddin; Samantha, Liza D.; Tee, Sze Ling; Kamarudin, Norizah; Ashton-Butt, Adham; Zubaid, Akbar; Lechner, Alex M.; Azhar, Badrul",,,,BIOLOGICAL CONSERVATION,NOV 2018,2018,227,,,,,40,47,,10.1016/j.biocon.2018.09.004,,,0,0
Identifying critical limits in oil palm cover for the conservation of terrestrial mammals in Colombia,"Pardo, Lain E.; Roque, Fabio de Oliveira; Campbell, Mason J.; Younes, Nicolas; Edwards, Will; Laurance, William F.",,,,BIOLOGICAL CONSERVATION,NOV 2018,2018,227,,,,,65,73,,10.1016/j.biocon.2018.08.026,,,0,0
Using large spatial scale camera trap data and hierarchical occupancy models to evaluate species richness and occupancy of rare and elusive wildlife communities in southwest China,"Li, Xueyou; Bleisch, William V.; Jiang, Xuelong",,,,DIVERSITY AND DISTRIBUTIONS,NOV 2018,2018,24,11,,,,1560,1572,,10.1111/ddi.12792,,,0,0
Land-use change structures carnivore communities in remaining tallgrass prairie,"Wait, Kyle R.; Ricketts, Andrew M.; Ahlers, Adam A.",,,,JOURNAL OF WILDLIFE MANAGEMENT,SEP 2018,2018,82,7,,,,1491,1502,,10.1002/jwmg.21492,,,0,0
Ecological correlates of mammal beta-diversity in Amazonian land-bridge islands: from small- to large-bodied species,"Palmeirim, Ana Filipa; Benchimol, Maira; Morante-Filho, Jose Carlos; Vieira, Marcus Vinicius; Peres, Carlos A.",,,,DIVERSITY AND DISTRIBUTIONS,AUG 2018,2018,24,8,,,,1109,1120,,10.1111/ddi.12749,,,0,0
"Large mammal richness in Llanganates National Park, Ecuador","Palacios, Jaime; Naveda-Rodriguez, Adrian; Zapata-Rios, Galo",,,,MAMMALIA,JUL 2018,2018,82,4,,,,309,314,,10.1515/mammalia-2017-0071,,,0,0
Estimating the response of wildlife communities to coastal dune construction,"Martin, Scott A.; Rautsaw, Rhett M.; Bolt, M. Rebecca; Parkinson, Christopher L.; Seigel, Richard A.",,,,OCEAN & COASTAL MANAGEMENT,JUL 1 2018,2018,161,,,,,31,36,,10.1016/j.ocecoaman.2018.04.021,,,0,0
Seasonal dynamics of terrestrial vertebrate abundance between Amazonian flooded and unflooded forests,"Costa, Hugo C. M.; Peres, Carlos A.; Abrahams, Mark I.",,,,PEERJ,JUN 27 2018,2018,6,,,,,,,e5058,10.7717/peerj.5058,,,0,0
Camera trap and questionnaire dataset on ecosystem services provided by small carnivores in agro-ecosystems in South Africa,"Williams, Samual T.; Maree, Naudene; Taylor, Peter; Belmain, Steven R.; Keith, Mark; Swanepoel, Lourens H.",,,,DATA IN BRIEF,JUN 2018,2018,18,,,,,753,759,,10.1016/j.dib.2013.03.071,,,0,0
The ecological footprint of Acca sellowiana domestication maintains the residual vertebrate diversity in threatened highlands of Atlantic Forest,"Bogoni, Juliano Andre; Graipel, Mauricio Eduardo; Peroni, Nivaldo",,,,PLOS ONE,APR 4 2018,2018,13,4,,,,,,e0195199,10.1371/journal.pone.0195199,,,0,0
Biodiversity conservation in the Madrean sky islands: community homogeneity of medium and large mammals in northwestern Mexico,"Coronel-Arellano, Heli; Lara-Diaz, Nalleli E.; Moreno, Claudia E.; Gutierrez-Gonzalez, Carmina E.; Lopez-Gonzalez, Carlos A.",,,,JOURNAL OF MAMMALOGY,APR 3 2018,2018,99,2,,,,465,477,,10.1093/jmammal/gyx151,,,0,0
Supplementing non-target taxa: bird feeding alters the local distribution of mammals,"Reed, J. Hunter; Bonter, David N.",,,,ECOLOGICAL APPLICATIONS,APR 2018,2018,28,3,,,,761,770,,10.1002/eap.1683,,,0,0
"Abundance and composition of the medium to large-sized mammals in a private area of a REDD plus project in Acre, Brazil","Botelho, Andre Luis Moura; Borges, Luiz Henrique Medeiros; McFarland, Brian",,,,BIOTA NEOTROPICA,2018,2018,18,3,,,,,,e20170487,10.1590/1676-0611-BN-2017-0487,,,0,0
"DISTRIBUTION, RELATIVE ABUNDANCE AND OCCUPANCY OF SELECTED MAMMALS ALONG PAVED ROAD IN KUBAH NATIONAL PARK, SARAWAK, BORNEO","Mohd-Azlan, Jayasilan; Kaicheen, Sally S.; Yoong, Woo C.",,,,NATURE CONSERVATION RESEARCH,2018,2018,3,2,,,,36,46,,10.24189/ncr.2018.028,,,0,0
"Composition of species of medium and large sized mammals in Eucalyptus plantations and native forests fragments, in the southeast of Minas Gerais state, Brazil","da Silva Zanzini, Antonio Carlos; Naves Silva, Alvaro Augusto; Pereira, Carina Zanco; Vieira Santiago, Wagner Tadeu; da Costa Zanon, Marcos Henrique",,,,SCIENTIA FORESTALIS,DEC 2017,2017,45,116,,,,673,683,,10.18671/scifor.v45n116.08,,,0,0
,"White, K. Nicole; Tuberville, Tracey D.",,,,WILSON JOURNAL OF ORNITHOLOGY,DEC 2017,2017,129,4,,,,792,803,,,,,0,0
Absence of Large and Presence of Medium-Sized Mammal Species of Conservation Concern in a Privately Protected Area of Rain Forest in Southeastern Mexico,"Ortiz-Lozada, Liliana; Pelayo-Martinez, Jaime; Mota-Vargas, Claudio; Paulina Demeneghi-Calatayud, Ana; Sosa, Vinicio J.",,,,TROPICAL CONSERVATION SCIENCE,NOV 15 2017,2017,10,,,,,1,13,,10.1177/1940082917738093,,,0,0
Scavenging along an ecological interface: utilization of amphibian and reptile carcasses around isolated wetlands,"Abernethy, Erin F.; Turner, Kelsey L.; Beasley, James C.; Rhodes, Olin E., Jr.",,,,ECOSPHERE,NOV 2017,2017,8,11,,,,,,e01989,10.1002/ecs2.1989,,,0,0
Terrestrial mammal assemblages in protected and human impacted areas in Northern Brazilian Amazonia,"de Luna, Rodolfo Burgos; Alfonso Reyes, Andres Felipe; Rodrigues de Lucena, Leandro Ricardo; Mendes Pontes, Antonio Rossano",,,,NATURE CONSERVATION-BULGARIA,OCT 17 2017,2017,,22,,,,147,167,,10.3897/natureconservation.22.17370,,,0,0
Diversity of terrestrial mammals in a private conservation area in Mexico,"Jasmin Cruz-Bazan, Erika; Manuel Pech-Canche, Juan; Adrian Cime-Poo, Jose",,,,ECOSISTEMAS Y RECURSOS AGROPECUARIOS,JAN-APR 2017,2017,4,10,,,,123,133,,10.19136/era.a4n10.956,,,0,0
The efficacy of monitoring techniques for detecting small mammals and reptiles in arid environments,"Molyneux, J.; Pavey, C. R.; James, A. I.; Carthew, S. M.",,,,WILDLIFE RESEARCH,2017,2017,44,6-7,,,,534,545,,10.1071/WR17017,,,0,0
The application of camera trapping to assess Rallidae species richness within palustrine wetland habitat in South Africa,"Colyn, Robin B.; Campbell, Alastair M.; Smit-Robinson, Hanneline A.",,,,OSTRICH,2017,2017,88,3,,,,235,245,,10.2989/00306525.2017.1292562,,,0,0
"Richness of plants, birds and mammals under the canopy of Ramorinoa girolae, an endemic and vulnerable desert tree species","Campos, Valeria E.; Fernandez Maldonado, Viviana; Balmaceda, Patricia; Giannoni, Stella",,,,BOSQUE,2017,2017,38,2,,,,307,316,,10.4067/S0717-92002017000200008,,,0,0
"Biodiversity Inventory and Conservation Opportunity of Suwi Wetlands, Muara Ancalong, East Kalimantan, Indonesia","Wahyudi, Deni; Kusneti, Monica; Suimah",,,"Nugroho, RA; Natalisanto, AI; Tarigan, D; Dharma, B; Astuti, IF; Wahyuningsih, S","1ST INTERNATIONAL CONFERENCE ON MATHEMATICS, SCIENCE AND COMPUTER SCIENCE (ICMSC) 2016: SUSTAINABILITY AND ECO GREEN INNOVATION IN TROPICAL STUDIES FOR GLOBAL FUTURE",2017,2017,1813,,,,,,,UNSP 020013-1,10.1063/1.4975951,"1st International Conference on Mathematics, Science and Computer Science (ICMSC)","OCT 19-21, 2016",0,0
"Influence of vegetation physiognomy, elevation and fire frequency on medium and large mammals in two protected areas of the Espinhaco Range","de Pinho, Fernando Ferreira; Ferreira, Guilherme Braga; Paglia, Adriano Pereira",,,,ZOOLOGIA,2017,2017,34,,,,,,,e11921,10.3897/zoologia.34.e11921,,,0,0
Camera traps at northern river otter latrines enhance carnivore detectability along riparian areas in eastern North America,"Wagnon, Casey J.; Serfass, Thomas L.",,,,GLOBAL ECOLOGY AND CONSERVATION,OCT 2016,2016,8,,,,,138,143,,10.1016/j.gecco.2016.08.010,,,0,0
A Comparison of Survey Techniques for Medium- to Large-sized Mammals in Forested Wetlands,"Rockhill, Aimee P.; Sollman, Rahel; Powell, Roger A.; DePerno, Christopher S.",,,,SOUTHEASTERN NATURALIST,MAR 2016,2016,15,1,,,,175,187,,10.1656/058.015.0112,,,0,0
Activity patterns and habitat use of mammals in an Andean forest and a Eucalyptus reforestation in Colombia,"Ramirez-Mejia, Andres F.; Sanchez, Francisco",,,,HYSTRIX-ITALIAN JOURNAL OF MAMMALOGY,2016,2016,27,2,,,,,,,10.4404/hystrix-27.2-11319,,,0,0
Effects of hunting and fragmentation on terrestrial mammals in the Chiquitano forests of Bolivia,"Kosydar, Andrew J.; Rumiz, Damian I.; Conquest, Loveday L.; Tewksbury, Joshua J.",,,,TROPICAL CONSERVATION SCIENCE,2014,2014,7,2,,,,298,317,,,,,0,0
Restored Wetlands Can Support Mammalian Assemblages Comparable to Those in Nonmitigated Reference Wetlands,"Kurz, David J.; McGinty, Nicholas A.; Stankavich, Sarah A.; Nowakowski, A. Justin; Smith, Gregory A.",,,,AMERICAN MIDLAND NATURALIST,OCT 2013,2013,170,2,,,,260,273,,10.1674/0003-0031-170.2.260,,,0,0
"NON-VOLANT MAMMAL ASSEMBLAGE OF SERRA DO JAPI BIOLOGICAL RESERVE, JUNDIAI, SAO PAULO, SOUTHEASTERN BRAZIL","de Carvalho, William Douglas; de Macedo Godoy, Maira Sant' Ana; Adania, Cristina Harumi; Lustosa Esberard, Carlos Eduardo",,,,BIOSCIENCE JOURNAL,SEP-OCT 2013,2013,29,5,,,,1370,1387,,,,,0,0
An Assessment of Herpetofaunal and Non-Volant Mammal Communities at Sites in the Piedmont of North Carolina,"Kapfer, Joshua M.; Munoz, David J.",,,,SOUTHEASTERN NATURALIST,APR 2012,2012,11,1,,,,65,88,,10.1656/058.011.0107,,,0,0
Field calibration of blowfly-derived DNA against traditional methods for assessing mammal diversity in tropical forests,"Lee, Ping-Shin; Gan, Han Ming; Clements, Gopalasamy Reuben; Wilson, John-James",,,,GENOME,NOV 2016,2016,59,11,2,,,1008,1022,,10.1139/gen-2015-0193,,,7,1.75
Bathymetric distribution of some benthic and benthopelagic species attracted to baited cameras and traps in the deep eastern Mediterranean,"Jones, EG; Tselepides, A; Bagley, PM; Collins, MA; Priede, IG",,,,MARINE ECOLOGY PROGRESS SERIES,2003,2003,251,,,,,75,86,,10.3354/meps251075,,,68,4
The diversity and activity patterns of wild felids in a secondary forest in Peninsular Malaysia,"Azlan, JM; Sharma, DSK",,,,ORYX,JAN 2006,2006,40,1,,,,36,41,,10.1017/S0030605306000147,,,55,3.93
"Wild felid diversity and activity patterns in Sabangau peat-swamp forest, Indonesian Borneo","Cheyne, Susan M.; Macdonald, David W.",,,,ORYX,JAN 2011,2011,45,1,,,,119,124,,10.1017/S003060531000133X,,,33,3.67
"The importance of secondary forest blocks for terrestrial mammals within an Acacia/secondary forest matrix in Sarawak, Malaysia","McShea, William J.; Stewart, Chad; Peterson, Liesl; Erb, Peter; Stuebing, Robert; Giman, Belden",,,,BIOLOGICAL CONSERVATION,DEC 2009,2009,142,12,,,,3108,3119,,10.1016/j.biocon.2009.08.009,,,33,3
Assessing the Status of Wild Felids in a Highly-Disturbed Commercial Forest Reserve in Borneo and the Implications for Camera Trap Survey Design,"Wearn, Oliver R.; Rowcliffe, J. Marcus; Carbone, Chris; Bernard, Henry; Ewers, Robert M.",,,,PLOS ONE,NOV 4 2013,2013,8,11,,,,,,e77598,10.1371/journal.pone.0077598,,,32,4.57
Utilisation of invertebrates discarded from the Nephrops fishery by variously selective benthic scavengers in the west of Scotland,"Bergmann, M; Wieczorek, SK; Moore, PG; Atkinson, RJA",,,,MARINE ECOLOGY PROGRESS SERIES,2002,2002,233,,,,,185,198,,10.3354/meps233185,,,30,1.67
Arboreal camera trapping: taking a proven method to new heights,"Gregory, Tremaine; Rueda, Farah Carrasco; Deichmann, Jessica; Kolowski, Joseph; Alonso, Alfonso",,,,METHODS IN ECOLOGY AND EVOLUTION,MAY 2014,2014,5,5,,,,443,451,,10.1111/2041-210X.12177,,,27,4.5
Predicting local extinctions of Amazonian vertebrates in forest islands created by a mega dam,"Benchimol, Maira; Peres, Carlos A.",,,,BIOLOGICAL CONSERVATION,JUL 2015,2015,187,,,,,61,72,,10.1016/j.biocon.2015.04.005,,,26,5.2
"Dispersal of Canarium euphyllum (Burseraceae), a large-seeded tree species, in a moist evergreen forest in Thailand","Kitamura, S; Suzuki, S; Yumoto, T; Poonswad, P; Chuailua, P; Plongmai, K; Maruhashi, T; Noma, N; Suckasam, C",,,,JOURNAL OF TROPICAL ECOLOGY,MAR 2006,2006,22,,2,,,137,146,,10.1017/S0266467405002889,,,24,1.71
TERRESTRIAL ACTIVITY PATTERNS OF WILD CATS FROM CAMERA-TRAPPING,"Lynam, Antony J.; Jenks, Kate E.; Tantipisanuh, Naruemon; Chutipong, Wanlop; Ngoprasert, Dusit; Gale, George A.; Steinmetz, Robert; Sukmasuang, Ronglarp; Bhumpakphan, Naris; Grassman, Lon I., Jr.; Cutter, Passanan; Kitamura, Shumpei; Reed, David H.; Baker, Megan C.; McShea, William; Songsasen, Nucharin; Leimgruber, Peter",,,,RAFFLES BULLETIN OF ZOOLOGY,FEB 28 2013,2013,61,1,,,,407,415,,,,,21,3
"HABITAT PREFERENCES AND ACTIVITY PATTERNS OF THE LARGER MAMMAL COMMUNITY IN PHNOM PRICH WILDLIFE SANCTUARY, CAMBODIA","Gray, Thomas N. E.; Phan, Channa",,,,RAFFLES BULLETIN OF ZOOLOGY,AUG 31 2011,2011,59,2,,,,311,318,,,,,20,2.22
"Cat coexistence in central Sumatra: ecological characteristics, spatial and temporal overlap, and implications for management","Sunarto, S.; Kelly, M. J.; Parakkasi, K.; Hutajulu, M. B.",,,,JOURNAL OF ZOOLOGY,JUN 2015,2015,296,2,,,,104,115,,10.1111/jzo.12218,,,19,3.8
,"Link, Andres; Galvis, Nelson; Fleming, Erin; Di Fiore, Anthony",,,,AMERICAN JOURNAL OF PRIMATOLOGY,APR 2011,2011,73,4,,,,386,396,,10.1002/ajp.20910,,,19,2.11
An evaluation of field techniques for monitoring terrestrial mammal populations in Amazonia,"Munari, Daniel Pereira; Keller, Claudia; Venticinque, Eduardo Martins",,,,MAMMALIAN BIOLOGY,2011,2011,76,4,,,,401,408,,10.1016/j.mambio.2011.02.007,,,19,2.11
"The diversity, status and conservation of small carnivores in a montane tropical forest in northern Laos","Johnson, Arlyne; Vongkhamheng, Chanthavy; Saithongdam, Thavisouk",,,,ORYX,OCT 2009,2009,43,4,,,,626,633,,10.1017/S0030605309990238,,,19,1.73
