site,siteid,sensor,lay,long,date,year,month,day,hour,microsite,rep,temp
Panoche,Open4,Camera Trap,36.69596,-120.79659,5/22/2019,2019,5,22,16,open,1,30
Panoche,Open4,Camera Trap,36.69596,-120.79659,5/22/2019,2019,5,22,17,open,1,25
Panoche,Open4,Camera Trap,36.69596,-120.79659,5/22/2019,2019,5,22,18,open,1,23
Panoche,Open4,Camera Trap,36.69596,-120.79659,5/22/2019,2019,5,22,19,open,1,21
Panoche,Open4,Camera Trap,36.69596,-120.79659,5/22/2019,2019,5,22,23,open,1,7
Panoche,Open4,Camera Trap,36.69596,-120.79659,5/22/2019,2019,5,23,5,open,1,5
Panoche,Open4,Camera Trap,36.69596,-120.79659,5/23/2019,2019,5,23,10,open,1,20
Panoche,Open4,Camera Trap,36.69596,-120.79659,5/23/2019,2019,5,23,11,open,1,27
Panoche,Open4,Camera Trap,36.69596,-120.79659,5/23/2019,2019,5,23,12,open,1,27
Panoche,Open4,Camera Trap,36.69596,-120.79659,5/23/2019,2019,5,23,13,open,1,34
Panoche,Open4,Camera Trap,36.69596,-120.79659,5/23/2019,2019,5,23,14,open,1,35
Panoche,Open4,Camera Trap,36.69596,-120.79659,5/24/2019,2019,5,24,10,open,1,31
Panoche,Open4,Camera Trap,36.69596,-120.79659,5/24/2019,2019,5,24,11,open,1,32
Panoche,Open4,Camera Trap,36.69596,-120.79659,5/24/2019,2019,5,24,12,open,1,33
Panoche,Open4,Camera Trap,36.69596,-120.79659,5/24/2019,2019,5,24,13,open,1,40
Panoche,Open4,Camera Trap,36.69596,-120.79659,5/24/2019,2019,5,24,14,open,1,39
Panoche,Open4,Camera Trap,36.69596,-120.79659,5/24/2019,2019,5,24,15,open,1,42
Panoche,Open4,Camera Trap,36.69596,-120.79659,5/24/2019,2019,5,24,16,open,1,38
Panoche,Open4,Camera Trap,36.69596,-120.79659,5/24/2019,2019,5,24,17,open,1,35
Panoche,Open4,Camera Trap,36.69596,-120.79659,5/24/2019,2019,5,24,18,open,1,35
Panoche,Open4,Camera Trap,36.69596,-120.79659,5/24/2019,2019,5,24,19,open,1,30
Panoche,Open4,Camera Trap,36.69596,-120.79659,5/25/2019,2019,5,25,5,open,1,5
Panoche,Open4,Camera Trap,36.69596,-120.79659,5/25/2019,2019,5,25,8,open,1,14
Panoche,Open4,Camera Trap,36.69596,-120.79659,5/25/2019,2019,5,25,9,open,1,24
Panoche,Open4,Camera Trap,36.69596,-120.79659,5/25/2019,2019,5,25,10,open,1,27
Panoche,Open4,Camera Trap,36.69596,-120.79659,5/25/2019,2019,5,25,11,open,1,33
Panoche,Open4,Camera Trap,36.69596,-120.79659,5/25/2019,2019,5,25,12,open,1,39
Panoche,Open4,Camera Trap,36.69596,-120.79659,5/25/2019,2019,5,25,13,open,1,36
Panoche,Open4,Camera Trap,36.69596,-120.79659,5/25/2019,2019,5,25,14,open,1,38
Panoche,Open4,Camera Trap,36.69596,-120.79659,5/25/2019,2019,5,25,15,open,1,40
Panoche,Open4,Camera Trap,36.69596,-120.79659,5/25/2019,2019,5,25,16,open,1,41
Panoche,Open4,Camera Trap,36.69596,-120.79659,5/25/2019,2019,5,25,17,open,1,37
Panoche,Open4,Camera Trap,36.69596,-120.79659,5/25/2019,2019,5,25,18,open,1,33
Panoche,Open4,Camera Trap,36.69596,-120.79659,5/25/2019,2019,5,25,19,open,1,26
Panoche,Open4,Camera Trap,36.69596,-120.79659,5/25/2019,2019,5,25,20,open,1,20
Panoche,Open4,Camera Trap,36.69596,-120.79659,5/25/2019,2019,5,25,21,open,1,14
Panoche,Open4,Camera Trap,36.69596,-120.79659,5/25/2019,2019,5,25,22,open,1,8
Panoche,Open4,Camera Trap,36.69596,-120.79659,5/26/2019,2019,5,26,1,open,1,4
Panoche,Open4,Camera Trap,36.69596,-120.79659,5/26/2019,2019,5,26,2,open,1,3
Panoche,Open4,Camera Trap,36.69596,-120.79659,5/26/2019,2019,5,26,3,open,1,3
Panoche,Open4,Camera Trap,36.69596,-120.79659,5/26/2019,2019,5,26,5,open,1,4
Panoche,Open4,Camera Trap,36.69596,-120.79659,5/26/2019,2019,5,26,9,open,1,12
Panoche,Open4,Camera Trap,36.69596,-120.79659,5/26/2019,2019,5,26,10,open,1,11
Panoche,Open4,Camera Trap,36.69596,-120.79659,5/26/2019,2019,5,26,11,open,1,15
Panoche,Open4,Camera Trap,36.69596,-120.79659,5/26/2019,2019,5,26,13,open,1,16
Panoche,Open4,Camera Trap,36.69596,-120.79659,5/26/2019,2019,5,26,14,open,1,16
Panoche,Open4,Camera Trap,36.69596,-120.79659,5/26/2019,2019,5,26,15,open,1,20
Panoche,Open4,Camera Trap,36.69596,-120.79659,5/26/2019,2019,5,26,16,open,1,19
Panoche,Open4,Camera Trap,36.69596,-120.79659,5/26/2019,2019,5,26,17,open,1,23
Panoche,Open4,Camera Trap,36.69596,-120.79659,5/26/2019,2019,5,26,18,open,1,17
Panoche,Open4,Camera Trap,36.69596,-120.79659,5/26/2019,2019,5,26,19,open,1,13
Panoche,Open4,Camera Trap,36.69596,-120.79659,5/27/2019,2019,5,27,0,open,1,0
Panoche,Open4,Camera Trap,36.69596,-120.79659,5/27/2019,2019,5,26,9,open,1,19
Panoche,Open4,Camera Trap,36.69596,-120.79659,5/27/2019,2019,5,26,10,open,1,23
Panoche,Open4,Camera Trap,36.69596,-120.79659,5/27/2019,2019,5,26,11,open,1,29
Panoche,Open4,Camera Trap,36.69596,-120.79659,5/27/2019,2019,5,26,12,open,1,34
Panoche,Open5,Camera Trap,36.69587,-120.79674,12/11/2008,2008,12,11,17,open,1,24
Panoche,Open5,Camera Trap,36.69587,-120.79674,12/11/2008,2008,12,11,18,open,1,29
Panoche,Open5,Camera Trap,36.69587,-120.79674,12/11/2008,2008,12,11,19,open,1,29
Panoche,Open5,Camera Trap,36.69587,-120.79674,12/11/2008,2008,12,11,20,open,1,22
Panoche,Open5,Camera Trap,36.69587,-120.79674,12/11/2008,2008,12,11,21,open,1,29
Panoche,Open5,Camera Trap,36.69587,-120.79674,12/11/2008,2008,12,11,22,open,1,24
Panoche,Open5,Camera Trap,36.69587,-120.79674,12/12/2008,2008,12,12,5,open,1,1
Panoche,Open5,Camera Trap,36.69587,-120.79674,12/12/2008,2008,12,12,6,open,1,2
Panoche,Open5,Camera Trap,36.69587,-120.79674,12/12/2008,2008,12,12,7,open,1,2
Panoche,Open5,Camera Trap,36.69587,-120.79674,12/12/2008,2008,12,12,12,open,1,14
Panoche,Open5,Camera Trap,36.69587,-120.79674,12/12/2008,2008,12,12,13,open,1,16
Panoche,Open5,Camera Trap,36.69587,-120.79674,12/12/2008,2008,12,12,14,open,1,19
Panoche,Open5,Camera Trap,36.69587,-120.79674,12/12/2008,2008,12,12,15,open,1,25
Panoche,Open5,Camera Trap,36.69587,-120.79674,12/12/2008,2008,12,12,16,open,1,18
Panoche,Open5,Camera Trap,36.69587,-120.79674,12/12/2008,2008,12,12,17,open,1,11
Panoche,Open5,Camera Trap,36.69587,-120.79674,12/12/2008,2008,12,12,20,open,1,11
Panoche,Open5,Camera Trap,36.69587,-120.79674,12/12/2008,2008,12,12,21,open,1,12
Panoche,Open5,Camera Trap,36.69587,-120.79674,12/13/2008,2008,12,13,1,open,1,2
Panoche,Open5,Camera Trap,36.69587,-120.79674,12/13/2008,2008,12,13,11,open,1,6
Panoche,Open5,Camera Trap,36.69587,-120.79674,12/13/2008,2008,12,13,12,open,1,15
Panoche,Open5,Camera Trap,36.69587,-120.79674,12/13/2008,2008,12,13,13,open,1,11
Panoche,Open5,Camera Trap,36.69587,-120.79674,12/13/2008,2008,12,13,14,open,1,18
Panoche,Open5,Camera Trap,36.69587,-120.79674,12/13/2008,2008,12,13,15,open,1,20
Panoche,Open5,Camera Trap,36.69587,-120.79674,12/13/2008,2008,12,13,16,open,1,20
Panoche,Open5,Camera Trap,36.69587,-120.79674,12/13/2008,2008,12,13,17,open,1,27
Panoche,Open5,Camera Trap,36.69587,-120.79674,12/13/2008,2008,12,13,18,open,1,30
Panoche,Open5,Camera Trap,36.69587,-120.79674,12/13/2008,2008,12,13,19,open,1,29
Panoche,Open5,Camera Trap,36.69587,-120.79674,12/13/2008,2008,12,13,20,open,1,23
Panoche,Open5,Camera Trap,36.69587,-120.79674,12/13/2008,2008,12,13,21,open,1,22
Panoche,Open5,Camera Trap,36.69587,-120.79674,12/13/2008,2008,12,13,22,open,1,12
Panoche,Open5,Camera Trap,36.69587,-120.79674,12/14/2008,2008,12,14,12,open,1,18
Panoche,Open5,Camera Trap,36.69587,-120.79674,12/14/2008,2008,12,14,13,open,1,21
Panoche,Open5,Camera Trap,36.69587,-120.79674,12/14/2008,2008,12,14,14,open,1,26
Panoche,Open5,Camera Trap,36.69587,-120.79674,12/14/2008,2008,12,14,15,open,1,38
Panoche,Open5,Camera Trap,36.69587,-120.79674,12/14/2008,2008,12,14,16,open,1,35
Panoche,Open5,Camera Trap,36.69587,-120.79674,12/14/2008,2008,12,14,17,open,1,24
Panoche,Open5,Camera Trap,36.69587,-120.79674,12/14/2008,2008,12,14,18,open,1,22
Panoche,Open5,Camera Trap,36.69587,-120.79674,12/14/2008,2008,12,14,19,open,1,12
Panoche,Open5,Camera Trap,36.69587,-120.79674,12/14/2008,2008,12,14,20,open,1,10
Panoche,Open5,Camera Trap,36.69587,-120.79674,12/15/2008,2008,12,15,11,open,1,20
Panoche,Open5,Camera Trap,36.69587,-120.79674,12/15/2008,2008,12,15,12,open,1,23
Panoche,Open5,Camera Trap,36.69587,-120.79674,12/15/2008,2008,12,15,13,open,1,30
Panoche,Open5,Camera Trap,36.69587,-120.79674,12/15/2008,2008,12,15,14,open,1,29
Panoche,Open5,Camera Trap,36.69587,-120.79674,12/15/2008,2008,12,15,15,open,1,35
Panoche,Open5,Camera Trap,36.69587,-120.79674,12/15/2008,2008,12,15,16,open,1,39
Panoche,Open5,Camera Trap,36.69587,-120.79674,12/15/2008,2008,12,15,17,open,1,40
Panoche,Open5,Camera Trap,36.69587,-120.79674,12/15/2008,2008,12,15,18,open,1,39
Panoche,Open5,Camera Trap,36.69587,-120.79674,12/15/2008,2008,12,15,19,open,1,38
Panoche,Open5,Camera Trap,36.69587,-120.79674,12/15/2008,2008,12,15,20,open,1,37
Panoche,Open5,Camera Trap,36.69587,-120.79674,12/15/2008,2008,12,15,21,open,1,27
Panoche,Open5,Camera Trap,36.69587,-120.79674,12/15/2008,2008,12,15,22,open,1,26
Panoche,Open5,Camera Trap,36.69587,-120.79674,12/16/2008,2008,12,16,2,open,1,8
Panoche,Open5,Camera Trap,36.69587,-120.79674,12/16/2008,2008,12,16,3,open,1,7
Panoche,Open5,Camera Trap,36.69587,-120.79674,12/16/2008,2008,12,16,5,open,1,6
Panoche,Open5,Camera Trap,36.69587,-120.79674,12/16/2008,2008,12,16,7,open,1,6
Panoche,Open5,Camera Trap,36.69587,-120.79674,12/16/2008,2008,12,16,8,open,1,6
Panoche,Open5,Camera Trap,36.69587,-120.79674,12/16/2008,2008,12,16,9,open,1,7
Panoche,Open5,Camera Trap,36.69587,-120.79674,12/16/2008,2008,12,16,10,open,1,15
Panoche,Open5,Camera Trap,36.69587,-120.79674,12/16/2008,2008,12,16,11,open,1,22
Panoche,Open5,Camera Trap,36.69587,-120.79674,12/16/2008,2008,12,16,12,open,1,23
Panoche,Open5,Camera Trap,36.69587,-120.79674,12/16/2008,2008,12,16,13,open,1,30
Panoche,Open5,Camera Trap,36.69587,-120.79674,12/16/2008,2008,12,16,14,open,1,38
Panoche,Open5,Camera Trap,36.69587,-120.79674,12/16/2008,2008,12,16,15,open,1,35
Panoche,Open5,Camera Trap,36.69587,-120.79674,12/16/2008,2008,12,16,16,open,1,39
Panoche,Open5,Camera Trap,36.69587,-120.79674,12/16/2008,2008,12,16,17,open,1,42
Panoche,Open5,Camera Trap,36.69587,-120.79674,12/16/2008,2008,12,16,18,open,1,43
Panoche,Open5,Camera Trap,36.69587,-120.79674,12/16/2008,2008,12,16,19,open,1,41
Panoche,Open5,Camera Trap,36.69587,-120.79674,12/16/2008,2008,12,16,20,open,1,37
Panoche,Open5,Camera Trap,36.69587,-120.79674,12/16/2008,2008,12,16,21,open,1,29
Panoche,Open5,Camera Trap,36.69587,-120.79674,12/16/2008,2008,12,16,22,open,1,22
Panoche,Open5,Camera Trap,36.69587,-120.79674,12/17/2008,2008,12,17,7,open,1,4
Panoche,Open5,Camera Trap,36.69587,-120.79674,12/17/2008,2008,12,17,10,open,1,8
Panoche,Open5,Camera Trap,36.69587,-120.79674,12/17/2008,2008,12,17,11,open,1,11
Panoche,Open5,Camera Trap,36.69587,-120.79674,12/17/2008,2008,12,17,12,open,1,12
Panoche,Open5,Camera Trap,36.69587,-120.79674,12/17/2008,2008,12,17,13,open,1,15
Panoche,Open5,Camera Trap,36.69587,-120.79674,12/17/2008,2008,12,17,15,open,1,16
Panoche,Open5,Camera Trap,36.69587,-120.79674,12/17/2008,2008,12,17,16,open,1,17
Panoche,Open5,Camera Trap,36.69587,-120.79674,12/17/2008,2008,12,17,17,open,1,22
Panoche,Open5,Camera Trap,36.69587,-120.79674,12/17/2008,2008,12,17,18,open,1,18
Panoche,Open5,Camera Trap,36.69587,-120.79674,12/17/2008,2008,12,17,19,open,1,30
Panoche,Open5,Camera Trap,36.69587,-120.79674,12/17/2008,2008,12,17,20,open,1,22
Panoche,Open5,Camera Trap,36.69587,-120.79674,12/17/2008,2008,12,17,21,open,1,12
Panoche,Open5,Camera Trap,36.69587,-120.79674,12/18/2008,2008,12,18,12,open,1,22
Panoche,Open5,Camera Trap,36.69587,-120.79674,12/18/2008,2008,12,18,13,open,1,25
Panoche,Open5,Camera Trap,36.69587,-120.79674,12/18/2008,2008,12,18,14,open,1,29
Panoche,Open6,Camera Trap,36.69601,-120.79673,01/12/2016,2016,1,12,18,open,1,27
Panoche,Open6,Camera Trap,36.69601,-120.79673,01/12/2016,2016,1,12,19,open,1,30
Panoche,Open6,Camera Trap,36.69601,-120.79673,01/12/2016,2016,1,12,20,open,1,31
Panoche,Open6,Camera Trap,36.69601,-120.79673,01/12/2016,2016,1,12,21,open,1,23
Panoche,Open6,Camera Trap,36.69601,-120.79673,01/12/2016,2016,1,12,22,open,1,28
Panoche,Open6,Camera Trap,36.69601,-120.79673,01/12/2016,2016,1,12,23,open,1,25
Panoche,Open6,Camera Trap,36.69601,-120.79673,01/13/2016,2016,1,13,0,open,1,15
Panoche,Open6,Camera Trap,36.69601,-120.79673,01/13/2016,2016,1,13,1,open,1,7
Panoche,Open6,Camera Trap,36.69601,-120.79673,01/13/2016,2016,1,13,2,open,1,7
Panoche,Open6,Camera Trap,36.69601,-120.79673,01/13/2016,2016,1,13,3,open,1,6
Panoche,Open6,Camera Trap,36.69601,-120.79673,01/13/2016,2016,1,13,4,open,1,5
Panoche,Open6,Camera Trap,36.69601,-120.79673,01/13/2016,2016,1,13,5,open,1,2
Panoche,Open6,Camera Trap,36.69601,-120.79673,01/13/2016,2016,1,13,6,open,1,2
Panoche,Open6,Camera Trap,36.69601,-120.79673,01/13/2016,2016,1,13,7,open,1,5
Panoche,Open6,Camera Trap,36.69601,-120.79673,01/13/2016,2016,1,13,8,open,1,2
Panoche,Open6,Camera Trap,36.69601,-120.79673,01/13/2016,2016,1,13,9,open,1,3
Panoche,Open6,Camera Trap,36.69601,-120.79673,01/13/2016,2016,1,13,11,open,1,8
Panoche,Open6,Camera Trap,36.69601,-120.79673,01/13/2016,2016,1,13,12,open,1,10
Panoche,Open6,Camera Trap,36.69601,-120.79673,01/13/2016,2016,1,13,13,open,1,22
Panoche,Open6,Camera Trap,36.69601,-120.79673,01/13/2016,2016,1,13,14,open,1,20
Panoche,Open6,Camera Trap,36.69601,-120.79673,01/13/2016,2016,1,13,15,open,1,21
Panoche,Open6,Camera Trap,36.69601,-120.79673,01/13/2016,2016,1,13,16,open,1,27
Panoche,Open6,Camera Trap,36.69601,-120.79673,01/13/2016,2016,1,13,17,open,1,22
Panoche,Open6,Camera Trap,36.69601,-120.79673,01/13/2016,2016,1,13,18,open,1,16
Panoche,Open6,Camera Trap,36.69601,-120.79673,01/13/2016,2016,1,13,19,open,1,15
Panoche,Open6,Camera Trap,36.69601,-120.79673,01/13/2016,2016,1,13,20,open,1,17
Panoche,Open6,Camera Trap,36.69601,-120.79673,01/13/2016,2016,1,13,21,open,1,15
Panoche,Open6,Camera Trap,36.69601,-120.79673,01/13/2016,2016,1,13,22,open,1,12
Panoche,Open6,Camera Trap,36.69601,-120.79673,01/13/2016,2016,1,13,23,open,1,12
Panoche,Open6,Camera Trap,36.69601,-120.79673,01/14/2016,2016,1,14,0,open,1,6
Panoche,Open6,Camera Trap,36.69601,-120.79673,01/14/2016,2016,1,14,1,open,1,6
Panoche,Open6,Camera Trap,36.69601,-120.79673,01/14/2016,2016,1,14,2,open,1,6
Panoche,Open6,Camera Trap,36.69601,-120.79673,01/14/2016,2016,1,14,3,open,1,6
Panoche,Open6,Camera Trap,36.69601,-120.79673,01/14/2016,2016,1,14,4,open,1,5
Panoche,Open6,Camera Trap,36.69601,-120.79673,01/14/2016,2016,1,14,5,open,1,5
Panoche,Open6,Camera Trap,36.69601,-120.79673,01/14/2016,2016,1,14,6,open,1,5
Panoche,Open6,Camera Trap,36.69601,-120.79673,01/14/2016,2016,1,14,7,open,1,5
Panoche,Open6,Camera Trap,36.69601,-120.79673,01/14/2016,2016,1,14,8,open,1,5
Panoche,Open6,Camera Trap,36.69601,-120.79673,01/14/2016,2016,1,14,9,open,1,5
Panoche,Open6,Camera Trap,36.69601,-120.79673,01/14/2016,2016,1,14,12,open,1,21
Panoche,Open6,Camera Trap,36.69601,-120.79673,01/14/2016,2016,1,14,14,open,1,12
Panoche,Open6,Camera Trap,36.69601,-120.79673,01/14/2016,2016,1,14,15,open,1,25
Panoche,Open6,Camera Trap,36.69601,-120.79673,01/14/2016,2016,1,14,16,open,1,27
Panoche,Open6,Camera Trap,36.69601,-120.79673,01/14/2016,2016,1,14,17,open,1,25
Panoche,Open6,Camera Trap,36.69601,-120.79673,01/14/2016,2016,1,14,18,open,1,28
Panoche,Open6,Camera Trap,36.69601,-120.79673,01/14/2016,2016,1,14,19,open,1,32
Panoche,Open6,Camera Trap,36.69601,-120.79673,01/14/2016,2016,1,14,20,open,1,30
Panoche,Open6,Camera Trap,36.69601,-120.79673,01/14/2016,2016,1,14,21,open,1,28
Panoche,Open6,Camera Trap,36.69601,-120.79673,01/14/2016,2016,1,14,22,open,1,23
Panoche,Open6,Camera Trap,36.69601,-120.79673,01/15/2016,2016,1,15,2,open,1,7
Panoche,Open6,Camera Trap,36.69601,-120.79673,01/15/2016,2016,1,15,3,open,1,7
Panoche,Open6,Camera Trap,36.69601,-120.79673,01/15/2016,2016,1,15,4,open,1,7
Panoche,Open6,Camera Trap,36.69601,-120.79673,01/15/2016,2016,1,15,5,open,1,8
Panoche,Open6,Camera Trap,36.69601,-120.79673,01/15/2016,2016,1,15,8,open,1,7
Panoche,Open6,Camera Trap,36.69601,-120.79673,01/15/2016,2016,1,15,9,open,1,6
Panoche,Open6,Camera Trap,36.69601,-120.79673,01/15/2016,2016,1,15,11,open,1,7
Panoche,Open6,Camera Trap,36.69601,-120.79673,01/15/2016,2016,1,15,12,open,1,23
Panoche,Open6,Camera Trap,36.69601,-120.79673,01/15/2016,2016,1,15,13,open,1,28
Panoche,Open6,Camera Trap,36.69601,-120.79673,01/15/2016,2016,1,15,14,open,1,32
Panoche,Open6,Camera Trap,36.69601,-120.79673,01/15/2016,2016,1,15,15,open,1,32
Panoche,Open6,Camera Trap,36.69601,-120.79673,01/15/2016,2016,1,15,16,open,1,41
Panoche,Open6,Camera Trap,36.69601,-120.79673,01/15/2016,2016,1,15,17,open,1,42
Panoche,Open6,Camera Trap,36.69601,-120.79673,01/15/2016,2016,1,15,18,open,1,30
Panoche,Open6,Camera Trap,36.69601,-120.79673,01/16/2016,2016,1,16,2,open,1,10
Panoche,Open6,Camera Trap,36.69601,-120.79673,01/16/2016,2016,1,16,3,open,1,8
Panoche,Open6,Camera Trap,36.69601,-120.79673,01/16/2016,2016,1,16,4,open,1,7
Panoche,Open6,Camera Trap,36.69601,-120.79673,01/16/2016,2016,1,16,10,open,1,10
Panoche,Open6,Camera Trap,36.69601,-120.79673,01/16/2016,2016,1,16,11,open,1,11
Panoche,Open6,Camera Trap,36.69601,-120.79673,01/16/2016,2016,1,16,12,open,1,31
